sire,section,line,country,f_sire,f_dam,f_damsire,baba_pos,dirt_pos,distance_pos,catchphrase,aim,comment
アグネスタキオン,海外の種牡馬,サンデーサイレンス系,千歳産,サンデーサイレンスUSA,アグネスフローラ,ロイヤルスキーUSA,,,,,25年はドンインザムードがレパードS、ワイドラトゥールが愛知杯を勝利。芝ダートは拮抗。距離は芝がワイドラトゥール得意の1400m、2000m。ただし2000mは2着が1着の3倍と勝ち切れない。ダートは1600、1700m。配合相手は芝はモーリス、エピファネイア、ダートはホッコータルマエ。騎手は横山武、三浦皇成。厩舎は今野、萩原。,
アロゲート,,ミスタープロスペクター系,米国産,Unbridled's Song,Bubbler,Distorted Humor,,,,,デビュー2戦目の初勝利から破竹の7連勝でBCクラシック、ペガサスWC、ドバイワールドCに勝利。1年足らずで米国賞金王に。産駒は勝つときは派手な人気先行タイプが多く、馬券は狙いづらい。芝もこなすが、ダートマイルから1800mが基本。25年日本ではミスティックロアが久々復帰も故障で引退。アッシュバニバルは3連勝でOP入りもそこが壁。産駒重賞勝ちも遠い。,
アースライト,,ノーザンダンサー系,愛国産,Shamardal,Winters Moon,New Approach,,,,,2歳6月に仏国でデビューし、仏国のモルニ賞、2歳コースレコード決着となった英国ミドルパークS含め2歳時は5戦5勝。3歳シーズンは7月の準重賞から始動しデビューからの連勝を6としたが、古馬を相手にしたモーリスドゲスト賞で初の敗戦を喫す。パンデミックの影響などもあって不運な現役生活だったが、仕上がりの早いマイラー血統。日本に向きそうな血統構成。,
アーミーミュール,,エーピーインディ系,米国産,Friesan Fire,Crafty Toast,Crafty Prospector,,,,,2歳トレーニングセールの高額取引馬。3歳4月のデビュー戦、スタートは今一つも、持ち前のスピードで8馬身差の圧勝。長期休養後2戦目4歳1月のレースも圧勝。重賞初挑戦のカーターHでは好位追走から直線入口で先頭、後続を突き放した。爆発的なスピードの持ち主だが、揉まれたときには一抹の不安が残る父系。日本ではジェネラーレがダートスプリント3勝クラスで奮闘。,
イフラージ,,ミスタープロスペクター系,英国産,Zafonic,Pastorale,Nureyev,,,,,G23勝、シュライC2着とマイラーとしてはBの上程度だったが、産駒デビューの2010年に37頭の2歳戦勝ち馬を出し、欧州繋養の新種牡馬最多記録を更新。仕上がり早の芝のスプリント〜マイラー血統。2026年に25歳と長老に。中央現役は「チームゴドルフィン」関連3頭。アンバドゥが休みを挟みつつ4戦3勝。芝マイルOPまで行けそうな器。芝寄りでスプリントからマイルあたりが守備範囲。,
ウォーフロント,,ダンジグ系,米国,Danzig,Starry Dreamer,Rubiano,2,3,3,,,順調に使い込めず、初勝利は3歳8月。G1タイトルを持たぬまま引退となったが、産駒の活躍で種牡馬としての地位を確立。ダート短距離が主戦場も、距離に融通性のあるダンジグ系。配合によっては中距離もこなし、芝コースにも対応する。ワールドスコライのダート型とプロトポロスのような芝の万能型がいる。距離は1200〜1400m。日本にもこの系統が次々と導入されて成功。
ウートンバセット,,ミスタープロスペクター系,英国,Iffraaj,Balladonia,Primo Dominie,2,2,3,,,2歳時英仏で5戦5勝の成績で仏2歳王者も、3歳時不振で仏国でも種牡馬に。年度種付料はわずか6000ユーロで種付頭数に恵まれず。だが初年度産駒アルマンソルが仏ダービーに勝ち一躍人気に。その後クールモアへ移籍。毎年世界のG1戦線活躍馬を出すか、シャトル先の豪州で急性肺炎のため「絶頂期」での急逝。早期から3歳まで芝マイル〜中長距離に対応。日本では8頭デビュー1勝と苦戦。
エッセンシャルクオリティ,,エーピーインディ系,米国産,Tapit,Delightful Quality,Elusive Quality,,,,,近税にコントレイルがいる米国2歳、3歳牡馬チャンピオン。BCジュヴェナイル、ベルモントS、トラヴァーズSなど王道路線を勝ち進み、負けたのは大外枠に泣かされたケンタッキーダービー3着と引退レースBCクラシック3着のみ。産駒にも豊富なスタミナを伝えてくれるはず。26年3歳2頭中ロードヴェリタスがデビューもややスピード負けの感。使いつつ良くなるタイプか。,
エンパイアメーカー,母の父としての種牡馬 (broodmare-sire feature; stat strip = 出走頭数/勝馬頭数/重賞勝利/EI),ミスタープロスペクター系,米国産,Unbridled,Toussaud,El Gran Senor,,,,,中山競馬場は複勝率35%,25年はトロヴァートレがダービー卿CTを勝利。勝率が上昇。ダートは安定する。距離は芝1200、1600m。ダート1800mも芝ダとも主要距離で好結果。配合相手は芝がキズナ、母にもキズナ、ダはトロヴァートレのレイデオロ、サートゥルナーリア。ダートはクリソベリル、マジェスティックウォリアー。騎手は松山、岩田望。
オーセンティック,,ストームキャット系,米国産,Into Mischief,Flawless,Mr. Greeley,,,,,9月にコロナ無観客ケンタッキーダービーに勝ち、同年BCクラシックは逃げ切り。史上4頭目の同一年両レース制覇。プリークネスSでは牝馬のスイススカイダイバーと一騎打ちに持ち込みながらクビ差敗戦。スピード豊かで仕上がり早。距離の融通性も高そう。産駒2世代目から2歳G1勝ち馬を出す。26年もシヴァージの半弟ウェストウッドがG2に勝つなど好調ぶりは持続。,
カンタロス,,ストームキャット系,米国産,Lion Heart,Contessa Halo,サザンヘーロー USA,2,1,2,,,1歳時に8万ドル、2歳トレーニングセールにおいて25万ドルで転売された。初出走は3歳5月になったもののデビュー戦で逃げ切り、わずか3戦の現役生活ながら重賞2勝。種牡馬として活躍。レーガがダートでセントラルパークマイルで活躍。
カーリン,,ミスタープロスペクター系,米国産,Smart Strike,Sherriff's Deputy,Deputy Minister,,,,,初年度からパレスマリス(日本輸入種牡馬)を出し、25年はジャーナリズムがプリークネスS、ハスキルSなど米3歳戦線で活躍。日本もダート専門。距離は1600〜1800mとやや長めで広いコースに向く。大将格のビヨンドザファザーは大井移籍でエリカヴェネチアが2勝クラスの中距離で奮闘。26年3歳馬2頭に期待がかかる。配合相手はノーザンダンサー系が好相性。,
ガイヤース,,ミスタープロスペクター系,愛国産,Dubawi,Nighttime,Galileo,,,,,5歳時にインターナショナルS、エクリプスS、コロネーションCとG1を3連勝したスピードとスタミナを兼備するA級馬。25年〜26年初頭と初年度、2世代目で北南半球でG1馬を出し、「ドバウィ後継」として好スタートを切る。日本では26年3歳ザーフィルが2歳新馬勝ち。この1頭では比較困難も芝の中距離が主戦場となりそう。決して仕上がり早ではないが能力だけで押し切るタイプ。,
ガンランナー,,ミスタープロスペクター系,米国産,Candy Ride,Quiet Giant,Giant's Causeway,,,,,先行力を武器に4歳は6戦5勝。BCクラシックでアロゲートを退けた。翌年ペガサスワールドCは2番手から早め先頭で有終の美を飾る。25年は米国2歳G1勝ち馬2頭などを出し、勢いは止まらない。日本では26年3歳世代にフィンガー(ブルーバードC)、新馬勝ちアメリカンスタイル、ジャスティンダラスなど駒が揃う。ダ1600〜1800mがベスト。広いコースに向き、小回りはイマイチ。,
キャンディライド,,ミスタープロスペクター系,亜国産,Ride the Rails,Candy Girl,Candy Stripes,,,,,南米アルゼンチンの伝説的な名馬。北米移籍後も圧倒的なスピードを発揮して活躍、種牡馬として米国賞金王となったガンランナーを出す。一本調子のスピードを伝えるパワー型。芝適性もあるが、瞬発力に欠くので洋芝や湿ったダートをよく得意とする。晩成型というよりもレースに慣れするのに時間がかかる産駒が多い。日本では道営所属キャンディドライヴが25年盛岡クラスターCで2着。,
キングカメハメハ,母の父としての種牡馬 (broodmare-sire feature; stat strip = 出走頭数/勝馬頭数/重賞勝利/EI),キングマンボ系,早来産,Kingmambo,マンファスIRE,ラストタイクーンIRE,,,,,中山ダ単勝回収率205%,25年は芝でG1未勝利。重賞3勝とやや勢いを欠いた。25年も22〜24年同様芝とダートは拮抗。距離は芝も全方位型ながら、中山芝1200mと、前回好調型の中京ダ1200mが25年は不得手に。馬主はキタサンブラック、フィエールマン、ロジャーバローズ。ダートはキズナ。騎手は川田、岩田父子、厩舎は上村、田中博。
キングマン,,ダンジグ系,英国産,Invincible Spirit,Zenda,Zamindar,1,1,2,,,他馬がまるで見えるほどのいわゆる太鼓判的ゲート出てから前にどんどん前へとスピードを発揮し、安田記念覇者をのみこむ。世界に伝えている。日本では25年はイングランドアイズ（小倉記念）などごくわずかな勝ち。25年も短距離シフト、欧州でもブレイク。配合相手はサンデー系、ミスプロ系と好相性。
クオリティロード,,ミスタープロスペクター系,米国,Elusive Quality,Kobla,Strawberry Road,3,1,3,,,怪我でケンタッキーダービーを回避した「幻のダービー馬」とも言われ、4つのG1タイトルを持つA級馬で米国人気種牡馬。仕上がりの早さとスピードを伝える。25年は再び米国G1勝ち馬を送り出す。自分の競馬ができれば強いタイプで、25年も日本ではダートで3勝、うち2勝は牝馬で、距離はマイル以下へやや短めにシフト。1番人気で4勝3勝と安定感があるものの、まだ2勝の壁は厚い。
クロフネ,母の父としての種牡馬 (broodmare-sire feature; stat strip = 出走頭数/勝馬頭数/重賞勝利/EI),デピュティミニスター系,米国産,フレンチデピュティUSA,ブルーアヴェニューUSA,Classic Go Go,,,,,ダ1200m単複回収率120%超,自身もフィリーサイアーらしく代表産駒も牝馬が多く、25年はエンブロイダリーが桜花賞、秋華賞勝ち。晩生の血統も継承、ガイアフォースもマイルG1を2着と年を重ね成長。25年は芝がダートに追いつき拮抗した成績がより顕著に。距離は芝が1200と2000m、ダートが1900m特注。配合相手は前掲2頭のうち芝はオルフェーヴル、ダートはルヴァンスレーヴ。
グッドマジック,,ミスタープロスペクター系,米国産,Curlin,Glinda the Good,ハードスパンUSA,,,,,初年度産駒と2年目産駒からクラシック勝ち馬を輩出。カーリン系らしい仕上がりの早さと強さを伝える。自身は2017年全米2歳牡馬チャンピオン。未勝利で挑んだBCジュヴェナイルを圧勝。ケンタッキーダービーは三冠馬ジャスティファイの2着。中央では26年3歳世代5頭も人気のわりに今ひとつ突き抜けない。コスモジンバックのように古馬で徐々に力を付けるイメージか。ダ中距離向き。,
グレンイーグルス,,サドラーズウェルズ系,愛国産,Galileo,You'resothrilling,Storm Cat,,,,,25年はカランダガンが芝現役最強馬の一頭としてその名を世界に轟かせた。自身は3歳時史上8頭目の英愛2000ギニー制覇含めマイルG1を3連勝。日本ではショックアクションの仕上がり早の早期完成型のイメージだが、エメラルドビーチのようにダート短距離の晩成型も出す。25年ジャパンCでのあの快走を見れば、芝本格派の輸入産駒登場を待たずにはいられない。,
グローバルキャンペーン,,ミスタープロスペクター系,米国産,Curlin,Globe Trot,A.P. Indy,,,,,早くから期待されていた良血馬だが、3歳クラシックには不参加でケンタッキーダービーと同時期に行われるピーターパンSで重賞初勝利。デビュー9戦目、G1初挑戦のウッドワードHを逃げ切ってG1ウイナーの仲間入りを果たす。半兄Bolt d'Oroの産駒にフロムダスクがいるものの、こちらはダート向き、距離の融通は利くはずだが、やや一本調子の面があるかもしれない。,
コザン,,フォーティナイナー系,米国産,Distorted Humor,Delta Princess,A.P. Indy,2,1,2,,,半姉に米名牝ロイヤルデルタ。デビュー戦を楽勝、2戦目の一般戦も12馬身以上の大差勝ち。種牡馬入り後2020年から25年まで毎年米でリーディングサイアー上位。2025年に芝に出てきた121頭は南半球で。日本ではジャスバーロブストが地方交流重賞を逃げ切り。ジャスバーゴールドは短距離型でTOP級も。ダート向きで母父次第。
コンスティテューション,,エーピーインディ系,米国産,Tapit,Baffled,Distorted Humor,,,,,3歳1月にデビュー。不敗の3連勝でクラシック候補に躍り出たが、骨折により3冠は断念。4歳2月のドンHで復活Vを遂げた。父タピットはダート指向が強いが、本馬は芝の活躍馬も多数。また、チリのシャトル先でも多くのG1馬を出し、適応力の高さを証明。中央では25年サークルオブジョイが芝長距離で2勝、シンビリーブはダ中距離3勝クラスと芝ダ不問。距離はマイル前後から中距離。,
コンプレキシティ,,フォーティナイナー系,米国産,Maclean's Music,Goldfield,Yes It's True,,,,,シャンペンSを圧勝し、不敗で挑んだBCジュヴェナイルは2番人気。果敢にハナを切ったが4角手前で交わされて失速。その後、順調さを欠くも、ケルソHで4角手前で先頭を奪い返して押し切り勝ち。爆発的なスピードがあり、マイル以下を使われることが多かった。基本はダートのスプリンター〜マイルだが、英G2を勝つなど芝も走る。日本唯一の産駒シンフォーエバーのイメージどおり。,
コーニッシュ,,ミスタープロスペクター系,米国産,Quality Road,Wasted Tears,Najran,,,,,21年全米2歳牡馬チャンピオン。抜群のダッシュ力とスピードを武器に2歳9月のデビュー戦から2つのG1含み3戦3勝。不敗のまま2歳王者となったが管理調教師のライセンス停止処分の影響で転厩を余儀なくされ、復帰初戦で大差のしんがり負け。そのまま引退となった。ダート適性の高いQuality Road系で仕上がりの早いスピード血統。どちらかと言えばハンデキャップタイプかもしれない。,
ゴールデンパル,,グレイソブリン系,米国産,Uncle Mo,Lady Shipman,Midshipman,,,,,米国2歳4月のデビュー戦2着後、英国ロイヤルアスコットのノーフォークSに挑み2着。世界を震撼させた。米国帰国後一貫し芝短距離を使われ、敵陣営から「ロケットシップ(宇宙船)」と言われるほど抜群のダッシュ力と加速力、粘り強さを武器に活躍。逃げ馬の宿命で勝つ時の鮮やかさと負ける時の潔さを併せ持っていた。仕上がり早のスピード血統。すんなりいければ中距離も。,
ゴールドアリュール,海外の種牡馬,サンデーサイレンス系,追分産,サンデーサイレンスUSA,ニキーヤUSA,Nureyev,,,,,自身の活躍舞台と同じく、25年も芝1勝に対しダート53勝とほぼダートでの勝ち鞍。ホウオウルーレット(父ロージズインメイ)がシリウスS、浦和記念と連勝。距離はダートは全方位型、阪神ダ2000m。阪神ダ1800mは優秀ながら東京2100m、新潟ダ1800mは不得手。配合相手はタワーオブロンドン、ナダル。騎手は松山、三浦皇成。厩舎は矢野英、森田。,
サクソンウォリアー,,ディープインパクト系,愛国,ディープインパクト,Maybe,Galileo,3,3,3,,,不敗のままレーシングポストトロフィー、英2000ギニーに勝利し日本産馬初の英国クラシック制覇を成し遂げた。種牡馬としても早々に芝G1勝ち馬を出す。日本では芝1400〜1800mが守備範囲で25年以降産駒数が増加する芝7勝中5勝が牝馬。函館で5戦4複勝圏と滞在競馬と洋芝が合うタイプか。得意な戦法は好位からの粘り込み。配合相手はほぼノーザンダンサー系。
サクラバクシンオー,海外の種牡馬,プリンスリーギフト系,早来産,サクラユタカオー,サクラハゴロモ,ノーザンテーストCAN,,,,,25年はカムニャック(父ブラックタイド)がオークス、サトノレーヴ(父ロードカナロア)は高松宮記念を勝利。26年も年明けフィオライアがシルクロードSを逃げ切る。芝ダートは芝3:ダ1。距離は1200、2000、2400m。ダートは1200、1400mと短め。配合相手はブラックタイドがロードカナロア、芝はレイデオロ。ダートはシルバーステート。騎手は吉田豊。,
シティオブライト,,ミスタープロスペクター系,米国産,Quality Road,Paris Notion,デヒアUSA,,,,,25年は23年2歳王者フィアースネスがパシフィッククラシックG1を制し3年連続のG1勝ち(BCクラシックはフォーエバーヤングの3着)と「タフさ」が再評価された。自身は3歳12月マリブSを逃げ切りG1初制覇。翌年3月トリプルベンドSも早めの先頭からG1連勝。この年BCダートマイルを快勝、引退戦ペガサスWCも2番手から圧勝。基本はダート中距離血統だが日本ではマイル以下の短距離指向。,
シャラタン,,ミスタープロスペクター系,米国産,Speightstown,Authenticity,Quiet American,,,,,3歳2月にサンタアニタ競馬場でデビュー。快足を武器に不敗のままアーカンソーダービーを制したが、のちに違法薬物が検出されて失格。その後、脚部不安を発症してひと息入れたがマリブSで復活V。翌年のサウジCでは名馬ミシュリフに1馬身差敗れたが後続を大きく引き離した。4度ある1位入線の合計着差は25馬身以上。父の産駒にモズスーパーフレア、マテラスカイ。ダートの短距離が◎。,
シャラー,,ダンジグ系,愛国,Invincible Spirit,Ghurra,War Chant,3,3,2,,,父は産み17万ギニーで取引、2歳5月にデビュー。初戦は不覚を取ったものの2戦目からはスピードを活かして2つのG1含め6連勝。南半球にもシャトルされ23年から25年と豪州で重賞勝利。中央で5頭出走で3頭勝ち上がる。ダート短距離でOP入りした中央唯一の成績はインビンシブルパパが芝CBC賞で逃げ切り。結局は芝不向の短距離型で落ち着きそう。
シューニ,,ヌレイエフ系,仏国,Pivotal,Sichilla,Danehill,3,3,3,,,1歳時17万ユーロで取引、2歳5月にデビュー。初戦は不覚を取ったものの欧州におけるGalileoとその父Sadler's Wellsの血の脅威、この血を持たない「救世主」として仏チャンピオンサイアーまで登りつめた。特徴は早期から芝短距離でデビューしながらクラシックまで活躍。その力を維持できるラックリは好位からの粘り込み。日本ではシンエンペラーが25年サウジアラビアターフカップを制した。
ショウケイシング,,ダンジグ系,英国,Oasis Dream,Arabesque,Zafonic,2,2,2,,,2歳夏ジムクラックSを当時の6F2歳コースレコードで勝利。父子制覇を狙ったミドルパークSは3着。父同様短距離路線に向かうも3歳ジュライCップ後に怪我が見つかり引退。日本ではペースセッティングが2歳戦から芝夕問わず活躍した。ダートもこなすが短距離が基本。25年もサセックスS勝馬を送り、ベテラン種牡馬として安定感を見せる。
シンボリクリスエス,母の父としての種牡馬 (broodmare-sire feature; stat strip = 出走頭数/勝馬頭数/重賞勝利/EI),ロベルト系,米国産,Kris S.,Tee Kay,Gold Meridian,,,,,25年のG3で複勝率29%,25年は京都金杯のサクラトゥジュール、中京記念のマピューズと重賞2勝。25年は芝ダが1.5:1で芝優勢。距離は芝は短から長まで全方位型も2400mは25年以降14戦未勝利。ダートは1700〜2000m。配合相手は芝がサトノダイヤモンド、サートゥルナーリア、ダートはレッドファルクス、ミッキーアイル。騎手は岩田望、舟山。厩舎は上村、堀。
ジャスティファイ,,ストームキャット系,米国産,Scat Daddy,Stage Magic,Ghostzapper,2,,2,,,わずか112日間で無敗のまま3歳デビューから初めて三冠を完勝させた名馬。産駒は2歳半の爆発的スピードと「全天候型・全世界型」が特徴。25年は14.5Fのセントレジャー勝ち馬を送り出し、日本ではオーサムリザルト引退）を中心にテーオーパスワードやティオラなどダート力を伝える。
ジャッククリストファー,,ミスタープロスペクター系,米国産,Munnings,Rushin No Blushin,Half Ours,,,,,ファシグティプトン社セールで13万5000ドル落札後2歳8月にサラトガでデビュー。溢れるようなスピードと逃げなくても競馬が出来るレースセンスを武器にキャリアを積み上げた。唯一の敗戦はレコード決着となるようなハイペースを追いかけたハスケルSのみ。5勝合計着差は26馬身半。母はストリートボスの半妹で父よりは対応距離は長め、ハンデキャップタイプのダート短〜中距離型。,
スタディオブマン,,ディープインパクト系,愛国,ディープインパクト,セカンドハピネス USA,Storm Cat,3,3,3,,,ディープインパクト直仔の仏ダービー馬。父の雪辱を期した凱旋門賞は9着。その後はガネー賞G12着、イスパーン賞2着と健闘するも勝ち星に恵まれず引退し、ジャックルマロワ賞を最後に引退。祖母はミエスク、母はキングマンボの半妹と血統的背景も十分で、欧州で世界トップレベル馬。日本でも25年キッコペッロが阪神芝1800m新馬勝ちとちらやべく本格派が出現。
ステイゴールド,母の父としての種牡馬 (broodmare-sire feature; stat strip = 出走頭数/勝馬頭数/重賞勝利/EI),サンデーサイレンス系,白老産,サンデーサイレンスUSA,ゴールデンサッシュ,デイクタスFR,,,,,芝1400mは単勝回収率168%超,25年はヘデントールが天皇賞・春、ホーエリートがステイヤーズSと父ルーラーシップ2頭が長距離重賞を制し晩成型。そのイメージとは違い、芝とダートは拮抗。距離は芝が1400〜1600m、ダートは1200、1900、2000mを得意とする。配合相手は芝がレイデオロ、エピファネイア、ダートはルーラーシップ。騎手は戸崎、津村。厩舎は手塚、小川田神。
スパイツタウン,,ミスタープロスペクター系,米国,Gone West,Silken Cat,Storm Cat,3,2,2,,,芝ダート不問のスプリンターで、能力の高さは信頼度は高い。勝ち上がり率も高く、多くは逃げ、先行。自身の能力はしっかり走れば反面、大舞台で底力を発揮、能力も超える頑張りをするタイプではない。日本ではマニハドラ、エコロガイアとダートOP馬の活躍を追うライドにカッタップが好調期で勝ち上がる。Munnings、Charlatanがこの後継代表後。
